Nama,Umur,Jenis Kelamin,Email dan POS
Rina,25,Perempuan,"user730@example.com,71248"
Messi,-5,Laki-laki,"user860@example.com,74414"
Maradona,130,Alien,"user187@example.com,96935"
Beckham,40,Laki-laki,"user172@example.com,47173"
Aulia,32,Perempuan,"user174@example.com,80863"
Del Piero,24,Laki-laki,"user699@example.com,72356"
Figo,45,Alien,"user723@example.com,35555"
Ronaldinho,180,Laki-laki,"user155@example.com,16980"
Ronaldo,29,laki-laki,"user724@example.com,46280"
Geisya,20,perempuan,"user742@example.com,79948"
